playerID,birthYear,nameGiven,weight,height,bats,throws
alouma01,1938,Mateo Rojas,160,69,L,L
aloumo01,1966,Moises Rojas,185,75,R,R
alperwh01,1879,Charles Augustus,180,70,R,R
alstode01,1952,Wendell,180,72,L,R
alstoga01,1971,Garvin James,185,74,R,R
alstoto01,1926,Thomas Edison,210,77,L,R
alstowa01,1911,Walter Emmons,195,74,R,R
altampo01,1952,Porfirio,175,72,R,R
altener01,1894,Ernest Matthias,175,72,R,L
altenje01,1893,Jesse Howard,158,69,L,R
altheaa01,1991,Aaron Samuel,215,77,R,R
altizda01,1876,David Tilden,160,70,L,R
altmage01,1933,George Lee,200,76,L,R
altobjo01,1932,Joseph Salvatore,185,72,L,L
altroni01,1876,Nicholas,197,70,B,L
altuvjo01,1990,Jose Carlos,165,66,R,R
alusige01,1935,George Joseph,175,75,R,R
alvarab01,1982,Abraham,190,74,L,L
alvarcl01,1968,Clemente Rafael,180,71,R,R
alvarda01,1989,Dario Rafael,170,73,L,L
alvarda02,1988,Dariel,180,74,R,R
alvarga01,1974,Gabriel de Jesus,185,73,R,R
alvarhe01,1990,Henderson Javier,205,72,R,R
alvarjo01,1956,Jose Lino,170,70,R,R
alvarjo02,1989,Jose Ricardo,180,71,L,L
alvarju01,1973,Juan M.,180,73,L,L
alvarlu01,1949,Luis Cesar,162,69,R,R
alvaror01,1952,Jesus Manuel Orlando,165,72,R,R
alvaros01,1933,Oswaldo,165,70,R,R
alvarpe01,1987,Pedro Manuel,250,75,L,R
alvarrj01,1991,Roy Emilio,225,74,R,R
alvarro01,1938,Rogelio,183,71,R,R
alvarta01,1971,Cesar Octavio,245,75,R,R
alvarto01,1979,Antonio Enrique,200,73,R,R
alvarvi01,1976,Victor Aurelio,150,70,L,L
alvarwi01,1970,Wilson Eduardo,175,73,L,L
alvisma01,1938,Roy Maxwell,185,71,R,R
alvorbi01,1863,William Crawford,187,70,R,R
alyeabr01,1940,Garrabrant Ryerson,215,75,R,R
amalfjo01,1934,John Joseph,175,71,R,R
amarari01,1962,Richard Louis,175,72,R,R
amarial01,1989,Alexi Jose,160,66,L,R
amaroru01,1936,Ruben,170,71,R,R
amaroru02,1965,Ruben,170,70,B,R
amblewa01,1915,Wayne Harper,165,68,R,R
ambrech01,1979,Raymond Payne,190,73,R,R
ambrihe01,1984,Hector,235,74,L,R
amelued01,1959,Edward Allen,180,71,L,L
amesre01,1882,Leon Kessling,185,70,B,R
amesst01,1988,Steven C.,205,73,R,R
amezaal01,1978,Alfredo,165,71,B,R
amoledo01,1874,Morris F.,165,69,R,L
amorosa01,1930,Edmundo,170,67,L,L
amorvi01,1932,Vicente,182,75,R,R
anckewa01,1893,Walter,190,73,R,R
anderal01,1914,Alfred Walton,165,71,R,R
anderal02,1964,Allan Lee,178,71,L,L
anderan01,1922,Andy Holm,172,71,R,R
anderbi01,1895,William Edward,165,73,R,L
anderbo01,1935,Robert Carl,210,76,R,R
anderbr01,1964,Brady Kevin,170,73,L,L
anderbr02,1972,Brian James,190,73,L,L
anderbr03,1982,Brian Nikola,220,74,R,R
anderbr04,1988,Brett Franklin,240,75,L,L
anderbr05,1986,Bryan Douglas,200,73,L,R
anderbu01,1956,Karl Adam,210,75,R,R
anderch01,1987,Robert Chase,194,73,R,R
anderco01,1990,Cody Andrew,240,76,R,R
andercr01,1938,Norman Craig,205,74,R,R
anderda01,1868,David S.,,,,L
anderda02,1960,David Carter,185,74,R,R
anderdr01,1981,Drew Thomas,195,74,L,R
anderdw01,1947,Dwain Cleaven,165,71,R,R
anderfe01,1918,Ferrell Jack,200,73,R,R
anderfr01,1885,John Frederick,180,74,R,R
anderga01,1972,Garret Joseph,190,75,L,L
anderge01,1889,George Jendrus,160,68,L,R
andergo01,1880,Edward John,,,L,R
anderha01,1904,Harold,160,71,R,R
anderha02,1931,Harry Walter,205,75,L,R
anderja01,1979,Jason Roger,188,72,L,R
anderji01,1957,James Lea,170,72,R,R
anderji02,1976,James Drew,195,73,L,L
anderjo01,1873,John Joseph,180,74,B,R
anderjo02,1929,John Charles,190,73,R,R
anderjo03,1982,Joshua Aaron,195,74,L,R
anderke01,1963,Kent McKay,180,73,R,R
anderla01,1952,Lawrence Dennis,190,75,R,R
anderla02,1953,Larry Eugene,200,75,R,R
anderla03,1987,Lars Eric,215,76,L,L
anderma01,1976,Matthew Jason,200,76,R,R
anderma02,1974,Marlon Ordell,190,70,L,R
andermi01,1951,Michael Allen,200,74,R,R
andermi02,1966,Michael James,200,75,R,R
anderre01,1912,Arnold Revola,210,75,R,R
anderri01,1953,Richard Lee,210,74,R,R
anderri02,1956,Richard Arlen,175,72,R,R
andersc01,1962,Scott Richard,190,78,R,R
andersp01,1934,George Lee,170,69,R,R
anderva01,1866,Warner Samuel,165,70,R,R
anderwa01,1897,Walter Carl,160,74,L,L
anderwi01,1886,Wingo Charlie,150,70,L,L
andinro01,1984,Robert Lazaro,195,72,R,R
andrast01,1978,Stephen Michael,220,73,R,R
andrecl01,1978,Clayton John,175,72,R,L
andreed01,1859,George Edward,160,68,R,R
andreel01,1901,Elbert DeVore,175,72,L,R
andreer01,1918,Ernest Henry,200,73,R,R
andrefr01,1952,Fred,163,68,R,R
andrehu01,1922,Hubert,170,72,R,R
andreiv01,1907,Ivy Paul,200,73,R,R
andreji01,1865,James Pratt,,,,
andrejo01,1923,John Edward,200,76,L,R
andrejo02,1949,John Richard,175,70,L,L
andreki01,1953,Kim Darrell,160,70,R,R
andremi01,1943,Michael Jay,195,75,R,R
andrena01,1913,Nathan Hardy,195,72,R,R
andrero01,1952,Robert Patrick,185,72,R,R
andresh01,1971,Darrell Shane,215,73,R,R
andrest01,1917,Stanley Joseph,178,71,R,R
andrewa01,1859,William Walter,170,75,R,R
andrima01,1989,Matthew Lee,215,75,R,R
andrubi01,1907,William Morgan,185,72,R,R
andruel01,1988,Elvis Augusto,200,72,R,R
andrufr01,1850,Frederick Hotham,185,74,R,R
andruwi01,1858,William Wiman,155,66,,
andujjo01,1952,Joaquin,170,72,B,R
andujlu01,1972,Luis,175,74,R,R
angelno01,1947,Norman Stanley,175,71,L,L
anglema01,1985,Matthew Ryan,185,69,L,R
angleto01,1904,Thomas Samuel,190,68,L,R
ankenpa01,1912,Frederick Norman,125,64,R,R
ankieri01,1979,Richard Alexander,210,73,L,L
annade01,1986,Dean William,180,71,L,R
annisbi01,1857,William Perley,150,67,R,
